n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,category
0.18569345772266388,0.14379386603832245,0.13486936688423157,0.12035264074802399,0.6726365685462952,0.4437125623226166,0.10164980590343475,0.09803140163421631,0.2156459391117096,0.18526485562324524,1.1472223997116089,0.07274957001209259,0.1461174190044403,0.07690601050853729,0.3666269779205322,0.497749388217926,1.0169305801391602,0.05417267233133316,0.15467339754104614,0.09476103633642197,0.2924870252609253,1
0.03914586454629898,0.25818607211112976,0.07811231166124344,0.14268529415130615,0.4370522201061249,0.21565566956996918,0.05228240787982941,0.055845003575086594,0.2304399311542511,0.07135900855064392,1.720450520515442,0.03296676650643349,0.036427091807127,0.019624289125204086,0.9877222776412964,0.11066722869873047,0.7762340903282166,0.15859155356884003,0.013960644602775574,0.016602084040641785,0.9174802899360657,1
0.2802649140357971,0.3245408535003662,0.235079824924469,0.06282950192689896,0.753369152545929,0.4233258366584778,0.17597657442092896,0.07790616154670715,0.22688321769237518,0.45006850361824036,1.2014390230178833,0.2678675651550293,0.044641874730587006,0.08173926174640656,0.4364505708217621,0.6669037342071533,1.1898117065429688,0.11403685063123703,0.1140984445810318,0.07575339823961258,0.48975956439971924,1
0.34196001291275024,0.1881335973739624,0.18398864567279816,0.07498078048229218,0.49206894636154175,0.35017165541648865,0.16370847821235657,0.0297231487929821,0.21364842355251312,0.23457418382167816,1.3409334421157837,0.1633126586675644,0.08809264749288559,0.09205034375190735,0.5610846281051636,0.5212541818618774,0.9624356627464294,0.050620198249816895,0.08428161591291428,0.06255826354026794,0.5191212892532349,1
0.11374294757843018,0.4147748053073883,0.07394429296255112,0.0023203135933727026,0.5424752831459045,0.20440877974033356,0.3295641243457794,0.0047020637430250645,0.05334826186299324,0.042649395763874054,0.2048729956150055,0.7941772937774658,0.17179475724697113,0.1128109022974968,0.036032337695360184,0.8154071569442749,1.0072897672653198,0.006682400591671467,0.431736558675766,0.04409085214138031,0.09211912006139755,0
0.19042719900608063,0.1411232054233551,0.2923189401626587,0.09212322533130646,0.47611263394355774,0.13920390605926514,0.6820560693740845,0.08868099749088287,0.07243631780147552,0.3335171043872833,1.3373489379882812,0.5080987215042114,0.20783014595508575,0.27816998958587646,0.05998256802558899,0.6037067770957947,1.9012898206710815,0.03354841470718384,0.06012227013707161,0.252124160528183,0.4174993634223938,1
0.06356615573167801,0.35040348768234253,0.06875789910554886,0.11990327388048172,0.5979112386703491,0.12164658308029175,0.08408705145120621,0.047069236636161804,0.07431617379188538,0.008136952295899391,0.8049255609512329,0.26588284969329834,0.19156107306480408,0.03237716853618622,0.13014329969882965,0.5019547343254089,1.384250521659851,0.12502971291542053,0.14208292961120605,0.07917818427085876,0.452338308095932,1
0.13913652300834656,0.32209649682044983,0.18491145968437195,0.051514532417058945,0.3667600750923157,0.2607862651348114,0.438082754611969,0.015373552218079567,0.21816131472587585,0.5441713333129883,0.28584545850753784,0.5663488507270813,0.20036964118480682,0.13842898607254028,0.014015717431902885,0.7385091185569763,0.9131006598472595,0.0032155173830688,0.7735452055931091,0.055719248950481415,0.07654932886362076,0
0.2175453007221222,0.26775431632995605,0.22950290143489838,0.03693057596683502,0.5180344581604004,0.26892468333244324,0.10957907885313034,0.08820480108261108,0.1241728886961937,0.023328423500061035,0.9556368589401245,0.34821709990501404,0.4349074959754944,0.061225391924381256,0.08192186802625656,0.5267616510391235,1.5495951175689697,0.127569317817688,0.07841778546571732,0.23577246069908142,0.29337993264198303,1
0.21344095468521118,0.1908029317855835,0.38077235221862793,0.21821531653404236,0.5386834144592285,0.2833392918109894,0.309556782245636,0.04965977370738983,0.14980024099349976,0.2567210793495178,0.9373087286949158,0.5975081324577332,0.2695031762123108,0.08635535091161728,0.042829155921936035,0.7601150274276733,1.6105129718780518,0.0798729956150055,0.12861588597297668,0.1566551774740219,0.27249306440353394,1
