n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,category
0.09861519187688828,0.5764276385307312,0.14837370812892914,0.3164978325366974,0.07892226427793503,0.025734173133969307,0.03722968325018883,1.425049901008606,0.17840878665447235,0.20606279373168945,0.08340905606746674,0.16300179064273834,0.3434097170829773,1.9159492254257202,0.09766343235969543,1
0.048913829028606415,0.4335978925228119,0.22227898240089417,0.4016609489917755,0.00464902026578784,0.08688785135746002,0.403492271900177,1.7972345352172852,0.3153079152107239,0.07008866220712662,0.09924854338169098,0.0991269201040268,0.42435595393180847,1.3712890148162842,0.010039868764579296,1
0.2247978150844574,0.24585853517055511,0.2482571303844452,0.1222258135676384,0.007761870510876179,0.0926712229847908,0.27725574374198914,1.9050019979476929,0.24028043448925018,0.039847806096076965,0.10249064862728119,0.18743419647216797,0.5421053767204285,1.0885512828826904,0.034193918108940125,1
0.026340071111917496,0.7669552564620972,0.12802653014659882,0.33129432797431946,0.025363437831401825,0.08871239423751831,0.49418899416923523,0.7021762728691101,0.6737667918205261,0.17120175063610077,0.26709166169166565,0.04471651092171669,0.7389488220214844,1.5887237787246704,0.06822092831134796,0
0.02399539202451706,0.5256354212760925,0.25361207127571106,0.4844302535057068,0.05756755173206329,0.005049924366176128,0.027085082605481148,1.0415794849395752,0.3163699209690094,0.2932577431201935,0.0786585807800293,0.045444753021001816,0.7044603228569031,1.5194180011749268,0.07588738948106766,1
0.0012453512754291296,0.7840667366981506,0.14765600860118866,0.2782372832298279,0.012678657658398151,0.022016972303390503,0.09104347229003906,1.0283933877944946,0.43748658895492554,0.05683084577322006,0.06504374742507935,0.06761609762907028,0.20743148028850555,1.0710668563842773,0.0063001848757267,0
0.014609551057219505,0.37855780124664307,0.1826440393924713,0.27874675393104553,0.0033313054591417313,0.04496637359261513,0.032194726169109344,0.5293426513671875,0.7542437314987183,0.29106274247169495,0.088504858314991,0.0017439080402255058,0.7028622031211853,1.2842808961868286,0.004620351828634739,0
0.02067611739039421,0.5430554747581482,0.3977892994880676,0.2696526050567627,0.08165141940116882,0.009685368277132511,0.011233394034206867,0.8575922250747681,0.48223045468330383,0.10146966576576233,0.042099207639694214,0.26246166229248047,0.33492931723594666,1.006136417388916,0.11645907908678055,1
0.07113001495599747,0.4316362142562866,0.12106018513441086,0.20086590945720673,0.00817084964364767,0.14684879779815674,0.09054138511419296,1.5458226203918457,0.38342079520225525,0.21136930584907532,0.10333526879549026,0.3600924015045166,0.3244624137878418,1.0024417638778687,0.10104193538427353,1
0.07662266492843628,0.2507452964782715,0.19948436319828033,0.11539135873317719,0.016547512263059616,0.06674264371395111,0.2938220202922821,1.9723451137542725,0.18178699910640717,0.06251974403858185,0.027024507522583008,0.2739560008049011,0.38840341567993164,1.077363133430481,0.011314166709780693,1
0.015167796984314919,0.2994304299354553,0.34666189551353455,0.15623722970485687,0.019241981208324432,0.11943761259317398,0.07098636776208878,0.19056805968284607,0.3578581213951111,0.02154521271586418,0.010368367657065392,0.08453264087438583,0.26313745975494385,0.7067387104034424,0.0,0
0.009125210344791412,0.6782200336456299,0.181985542178154,0.06974107772111893,0.11747057735919952,0.10084332525730133,0.11170388758182526,1.2067432403564453,0.18987952172756195,0.07029450684785843,0.012498208321630955,1.0250595808029175,0.12901417911052704,0.8757294416427612,0.09247158467769623,1
0.00608567800372839,0.5363585352897644,0.09424813091754913,0.34418338537216187,0.015696091577410698,0.09141282737255096,0.06299571692943573,0.7842848896980286,0.502406895160675,0.1918494552373886,0.05200257524847984,0.14731702208518982,0.29135042428970337,1.0356775522232056,0.03034098632633686,0
