n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,category
0.09245440363883972,0.5837910771369934,0.04007219150662422,0.2842613756656647,0.058703843504190445,0.18466685712337494,0.05062735825777054,0.8805050849914551,0.22274912893772125,0.3191945254802704,1
0.02399539202451706,0.5256354212760925,0.25361207127571106,0.4844302535057068,0.05756755173206329,0.005049924366176128,0.027085082605481148,1.0415794849395752,0.3163699209690094,0.2932577431201935,1
0.03153953328728676,0.44484037160873413,0.3477575480937958,0.37767887115478516,0.01034525129944086,0.1375400274991989,0.5159018039703369,0.6264424920082092,0.5816026329994202,0.09221769869327545,0
0.015167796984314919,0.2994304299354553,0.34666189551353455,0.15623722970485687,0.019241981208324432,0.11943761259317398,0.07098636776208878,0.19056805968284607,0.3578581213951111,0.02154521271586418,0
0.09446189552545547,0.8601633310317993,0.03283277153968811,0.4055996239185333,0.045483026653528214,0.0682927668094635,0.004810506943613291,0.9633551239967346,0.31033259630203247,0.34823161363601685,1
0.0023203135933727026,0.5424752831459045,0.20440877974033356,0.3295641243457794,0.0047020637430250645,0.05334826186299324,0.042649395763874054,0.2048729956150055,0.7941772937774658,0.17179475724697113,0
0.019395694136619568,0.5802962183952332,0.03548934683203697,0.31864163279533386,0.0024522184394299984,0.01755758933722973,0.14018404483795166,0.8516238927841187,0.7013300061225891,0.255319744348526,0
0.03584368899464607,0.4323846995830536,0.14835694432258606,0.23229381442070007,0.10339273512363434,0.0085517643019557,0.08534324169158936,0.8581371903419495,0.5599313974380493,0.0643220767378807,1
0.03883503004908562,0.4302246868610382,0.2122119963169098,0.10333430022001266,0.0027212039567530155,0.1061975434422493,0.06481349468231201,0.3626103699207306,0.43699440360069275,0.2768251597881317,0
0.21821531653404236,0.5386834144592285,0.2833392918109894,0.309556782245636,0.04965977370738983,0.14980024099349976,0.2567210793495178,0.9373087286949158,0.5975081324577332,0.2695031762123108,1
0.00926531944423914,0.4891913831233978,0.13561344146728516,0.15473031997680664,0.03632337972521782,0.06223943084478378,0.012467914260923862,1.2077555656433105,0.3035643398761749,0.031206898391246796,1
0.12035264074802399,0.6726365685462952,0.4437125623226166,0.10164980590343475,0.09803140163421631,0.2156459391117096,0.18526485562324524,1.1472223997116089,0.07274957001209259,0.1461174190044403,1
0.11142391711473465,0.33180293440818787,0.2871268391609192,0.046677958220243454,0.013960949145257473,0.1045822873711586,0.05590106546878815,0.5108972191810608,0.11062368750572205,0.022528378292918205,0
0.0066580940037965775,0.5351811051368713,0.22341272234916687,0.5274066925048828,0.013462609611451626,0.29210713505744934,0.5039739608764648,0.5046358704566956,0.5043277740478516,0.25401148200035095,0
0.008082276210188866,0.5306939482688904,0.05092693492770195,0.6743877530097961,0.0019832816906273365,0.03984091430902481,0.042770106345415115,0.7706089615821838,0.9741492867469788,0.6679635643959045,0
0.09861519187688828,0.5764276385307312,0.14837370812892914,0.3164978325366974,0.07892226427793503,0.025734173133969307,0.03722968325018883,1.425049901008606,0.17840878665447235,0.20606279373168945,1
0.040659189224243164,0.3879547417163849,0.38362663984298706,0.08386821299791336,0.015330251306295395,0.1255180984735489,0.0920126885175705,0.3178456425666809,0.39637014269828796,0.16511081159114838,0
0.00608567800372839,0.5363585352897644,0.09424813091754913,0.34418338537216187,0.015696091577410698,0.09141282737255096,0.06299571692943573,0.7842848896980286,0.502406895160675,0.1918494552373886,0
0.07139358669519424,0.8131272196769714,0.19093675911426544,0.36950069665908813,0.06160146743059158,0.15921643376350403,0.33522194623947144,1.2210065126419067,0.3930276036262512,0.340112566947937,1
0.0009886780753731728,1.0975662469863892,0.20333331823349,0.42378702759742737,0.10820045322179794,0.05243714526295662,0.12260276824235916,0.9657090902328491,0.575554370880127,0.13310936093330383,0
0.02545161359012127,0.22571435570716858,0.2729576826095581,0.18955384194850922,0.03850577771663666,0.19415943324565887,0.0531916581094265,0.17999684810638428,0.4472540020942688,0.18342134356498718,0
0.03693057596683502,0.5180344581604004,0.26892468333244324,0.10957907885313034,0.08820480108261108,0.1241728886961937,0.023328423500061035,0.9556368589401245,0.34821709990501404,0.4349074959754944,1
0.048913829028606415,0.4335978925228119,0.22227898240089417,0.4016609489917755,0.00464902026578784,0.08688785135746002,0.403492271900177,1.7972345352172852,0.3153079152107239,0.07008866220712662,1
0.1454523503780365,0.40883708000183105,0.05019759759306908,0.2742743492126465,0.029854655265808105,0.05402347818017006,0.11588650196790695,1.4677098989486694,0.5147214531898499,0.10986323654651642,1
0.05913359671831131,0.664631724357605,0.4682168960571289,0.23072552680969238,0.06444180756807327,0.26648423075675964,0.1602509319782257,1.027451515197754,0.17639979720115662,0.04303198307752609,1
0.011295583099126816,0.46766382455825806,0.06212737783789635,0.20599700510501862,0.026932507753372192,0.2815694212913513,0.1169806569814682,0.5571041703224182,0.5327647924423218,0.14051157236099243,0
0.01548674888908863,0.3977769613265991,0.223533496260643,0.38290935754776,0.008928081020712852,0.1631418764591217,0.14290347695350647,0.4852107763290405,0.4573836028575897,0.02447793260216713,0
0.009125210344791412,0.6782200336456299,0.181985542178154,0.06974107772111893,0.11747057735919952,0.10084332525730133,0.11170388758182526,1.2067432403564453,0.18987952172756195,0.07029450684785843,1
0.06282950192689896,0.753369152545929,0.4233258366584778,0.17597657442092896,0.07790616154670715,0.22688321769237518,0.45006850361824036,1.2014390230178833,0.2678675651550293,0.044641874730587006,1
0.07113001495599747,0.4316362142562866,0.12106018513441086,0.20086590945720673,0.00817084964364767,0.14684879779815674,0.09054138511419296,1.5458226203918457,0.38342079520225525,0.21136930584907532,1
0.011228217743337154,0.7960911989212036,0.055296193808317184,0.5259087681770325,0.03404645249247551,0.3816661536693573,0.20127145946025848,0.6570591330528259,0.8450608849525452,0.29226401448249817,0
0.14268529415130615,0.4370522201061249,0.21565566956996918,0.05228240787982941,0.055845003575086594,0.2304399311542511,0.07135900855064392,1.720450520515442,0.03296676650643349,0.036427091807127,1
0.09077069908380508,0.38246479630470276,0.2334255576133728,0.19695639610290527,0.008651740849018097,0.11757884919643402,0.3556458055973053,1.5131336450576782,0.25624579191207886,0.10150215029716492,1
0.10750307887792587,0.7218015193939209,0.23306462168693542,0.19306093454360962,0.13283361494541168,0.08072130382061005,0.03818647563457489,0.9743619561195374,0.3104866147041321,0.27246466279029846,1
0.07662266492843628,0.2507452964782715,0.19948436319828033,0.11539135873317719,0.016547512263059616,0.06674264371395111,0.2938220202922821,1.9723451137542725,0.18178699910640717,0.06251974403858185,1
0.02067611739039421,0.5430554747581482,0.3977892994880676,0.2696526050567627,0.08165141940116882,0.009685368277132511,0.011233394034206867,0.8575922250747681,0.48223045468330383,0.10146966576576233,1
0.2247978150844574,0.24585853517055511,0.2482571303844452,0.1222258135676384,0.007761870510876179,0.0926712229847908,0.27725574374198914,1.9050019979476929,0.24028043448925018,0.039847806096076965,1
0.17026783525943756,0.4040784239768982,0.5801653265953064,0.11145385354757309,0.0044949292205274105,0.21051138639450073,0.4793841540813446,0.3213023841381073,0.3382991552352905,0.07366958260536194,0
0.026340071111917496,0.7669552564620972,0.12802653014659882,0.33129432797431946,0.025363437831401825,0.08871239423751831,0.49418899416923523,0.7021762728691101,0.6737667918205261,0.17120175063610077,0
0.014609551057219505,0.37855780124664307,0.1826440393924713,0.27874675393104553,0.0033313054591417313,0.04496637359261513,0.032194726169109344,0.5293426513671875,0.7542437314987183,0.29106274247169495,0
0.03190173581242561,0.39960306882858276,0.3316221833229065,0.1999693214893341,0.030090894550085068,0.15424560010433197,0.10926928371191025,0.2855294644832611,0.250071257352829,0.0656123161315918,0
