n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,category
0.11604558676481247,0.16260480880737305,0.14527501165866852,0.10750307887792587,0.7218015193939209,0.23306462168693542,0.19306093454360962,0.13283361494541168,0.08072130382061005,0.03818647563457489,0.9743619561195374,0.3104866147041321,0.27246466279029846,1
0.08332137763500214,0.24972723424434662,0.1641867607831955,0.014609551057219505,0.37855780124664307,0.1826440393924713,0.27874675393104553,0.0033313054591417313,0.04496637359261513,0.032194726169109344,0.5293426513671875,0.7542437314987183,0.29106274247169495,0
0.4010867476463318,0.6678609251976013,0.19642800092697144,0.011228217743337154,0.7960911989212036,0.055296193808317184,0.5259087681770325,0.03404645249247551,0.3816661536693573,0.20127145946025848,0.6570591330528259,0.8450608849525452,0.29226401448249817,0
0.34196001291275024,0.1881335973739624,0.18398864567279816,0.07498078048229218,0.49206894636154175,0.35017165541648865,0.16370847821235657,0.0297231487929821,0.21364842355251312,0.23457418382167816,1.3409334421157837,0.1633126586675644,0.08809264749288559,1
0.26908260583877563,0.24653564393520355,0.3858158588409424,0.07139358669519424,0.8131272196769714,0.19093675911426544,0.36950069665908813,0.06160146743059158,0.15921643376350403,0.33522194623947144,1.2210065126419067,0.3930276036262512,0.340112566947937,1
0.35363200306892395,0.6389390826225281,0.1995142251253128,0.05913359671831131,0.664631724357605,0.4682168960571289,0.23072552680969238,0.06444180756807327,0.26648423075675964,0.1602509319782257,1.027451515197754,0.17639979720115662,0.04303198307752609,1
0.08461399376392365,0.17425379157066345,0.23693767189979553,0.0012453512754291296,0.7840667366981506,0.14765600860118866,0.2782372832298279,0.012678657658398151,0.022016972303390503,0.09104347229003906,1.0283933877944946,0.43748658895492554,0.05683084577322006,0
0.22588597238063812,0.32366350293159485,0.11889336258172989,0.03153953328728676,0.44484037160873413,0.3477575480937958,0.37767887115478516,0.01034525129944086,0.1375400274991989,0.5159018039703369,0.6264424920082092,0.5816026329994202,0.09221769869327545,0
0.04694361612200737,0.16483758389949799,0.2478843778371811,0.03584368899464607,0.4323846995830536,0.14835694432258606,0.23229381442070007,0.10339273512363434,0.0085517643019557,0.08534324169158936,0.8581371903419495,0.5599313974380493,0.0643220767378807,1
0.09673954546451569,0.5169970393180847,0.14845414459705353,0.048913829028606415,0.4335978925228119,0.22227898240089417,0.4016609489917755,0.00464902026578784,0.08688785135746002,0.403492271900177,1.7972345352172852,0.3153079152107239,0.07008866220712662,1
0.1990956962108612,0.09240233153104782,0.09168464690446854,0.09861519187688828,0.5764276385307312,0.14837370812892914,0.3164978325366974,0.07892226427793503,0.025734173133969307,0.03722968325018883,1.425049901008606,0.17840878665447235,0.20606279373168945,1
0.17715159058570862,0.28145188093185425,0.16688823699951172,0.06589245796203613,0.559923529624939,0.29025399684906006,0.2604084312915802,0.02571289986371994,0.15884234011173248,0.1945253610610962,0.9599305987358093,0.3692132830619812,0.04672040045261383,1
0.05587376654148102,0.09970273077487946,0.21711194515228271,0.002045317552983761,0.6091281771659851,0.21479712426662445,0.38540154695510864,0.011018626391887665,0.06041170284152031,0.05533568561077118,0.8492507338523865,0.5056098103523254,0.11049074679613113,0
0.21108736097812653,0.18602856993675232,0.17957815527915955,0.09446189552545547,0.8601633310317993,0.03283277153968811,0.4055996239185333,0.045483026653528214,0.0682927668094635,0.004810506943613291,0.9633551239967346,0.31033259630203247,0.34823161363601685,1
0.06900583207607269,0.06124264374375343,0.06791220605373383,0.02545161359012127,0.22571435570716858,0.2729576826095581,0.18955384194850922,0.03850577771663666,0.19415943324565887,0.0531916581094265,0.17999684810638428,0.4472540020942688,0.18342134356498718,0
0.23050375282764435,0.07594533264636993,0.2960282564163208,0.02399539202451706,0.5256354212760925,0.25361207127571106,0.4844302535057068,0.05756755173206329,0.005049924366176128,0.027085082605481148,1.0415794849395752,0.3163699209690094,0.2932577431201935,1
0.11374294757843018,0.4147748053073883,0.07394429296255112,0.0023203135933727026,0.5424752831459045,0.20440877974033356,0.3295641243457794,0.0047020637430250645,0.05334826186299324,0.042649395763874054,0.2048729956150055,0.7941772937774658,0.17179475724697113,0
0.08239229023456573,0.1584126055240631,0.1894187480211258,0.015167796984314919,0.2994304299354553,0.34666189551353455,0.15623722970485687,0.019241981208324432,0.11943761259317398,0.07098636776208878,0.19056805968284607,0.3578581213951111,0.02154521271586418,0
0.03718234598636627,0.16145166754722595,0.14248059689998627,0.040659189224243164,0.3879547417163849,0.38362663984298706,0.08386821299791336,0.015330251306295395,0.1255180984735489,0.0920126885175705,0.3178456425666809,0.39637014269828796,0.16511081159114838,0
0.21344095468521118,0.1908029317855835,0.38077235221862793,0.21821531653404236,0.5386834144592285,0.2833392918109894,0.309556782245636,0.04965977370738983,0.14980024099349976,0.2567210793495178,0.9373087286949158,0.5975081324577332,0.2695031762123108,1
0.2458614706993103,0.48604246973991394,0.29616931080818176,0.012702430598437786,0.7431310415267944,0.29866254329681396,0.5203370451927185,0.03846115618944168,0.11975762993097305,0.6336259841918945,1.0279871225357056,0.4458411931991577,0.10124180465936661,0
0.18002010881900787,0.5259609222412109,0.16462907195091248,0.026340071111917496,0.7669552564620972,0.12802653014659882,0.33129432797431946,0.025363437831401825,0.08871239423751831,0.49418899416923523,0.7021762728691101,0.6737667918205261,0.17120175063610077,0
0.06372188031673431,0.2663138210773468,0.07025320082902908,0.03557200729846954,0.47855761647224426,0.19779753684997559,0.1671316921710968,0.027758905664086342,0.031065043061971664,0.08827252686023712,0.9762237071990967,0.2553754150867462,0.10212679207324982,1
