n7,n8,n9,n10,n11,n12,category
0.17261740565299988,0.3193992078304291,0.15351325273513794,0.0014737218152731657,0.5064772367477417,0.3550351858139038,0
0.4010867476463318,0.6678609251976013,0.19642800092697144,0.011228217743337154,0.7960911989212036,0.055296193808317184,0
0.11930344253778458,0.069428950548172,0.1947634369134903,0.11142391711473465,0.33180293440818787,0.2871268391609192,0
0.07697821408510208,0.4577260911464691,0.22125175595283508,0.09077069908380508,0.38246479630470276,0.2334255576133728,1
0.26908260583877563,0.24653564393520355,0.3858158588409424,0.07139358669519424,0.8131272196769714,0.19093675911426544,1
0.1344248652458191,0.04716921225190163,0.17407208681106567,0.026758529245853424,0.6277684569358826,0.021116644144058228,0
0.1990956962108612,0.09240233153104782,0.09168464690446854,0.09861519187688828,0.5764276385307312,0.14837370812892914,1
0.03718234598636627,0.16145166754722595,0.14248059689998627,0.040659189224243164,0.3879547417163849,0.38362663984298706,0
0.14641115069389343,0.39912769198417664,0.37453046441078186,0.019395694136619568,0.5802962183952332,0.03548934683203697,0
0.22588597238063812,0.32366350293159485,0.11889336258172989,0.03153953328728676,0.44484037160873413,0.3477575480937958,0
0.35363200306892395,0.6389390826225281,0.1995142251253128,0.05913359671831131,0.664631724357605,0.4682168960571289,1
0.08239229023456573,0.1584126055240631,0.1894187480211258,0.015167796984314919,0.2994304299354553,0.34666189551353455,0
0.11374294757843018,0.4147748053073883,0.07394429296255112,0.0023203135933727026,0.5424752831459045,0.20440877974033356,0
0.34196001291275024,0.1881335973739624,0.18398864567279816,0.07498078048229218,0.49206894636154175,0.35017165541648865,1
0.18002010881900787,0.5259609222412109,0.16462907195091248,0.026340071111917496,0.7669552564620972,0.12802653014659882,0
0.21344095468521118,0.1908029317855835,0.38077235221862793,0.21821531653404236,0.5386834144592285,0.2833392918109894,1
0.19917228817939758,0.07687287032604218,0.36295780539512634,0.14803196489810944,0.6712132096290588,0.19475886225700378,1
0.07161080837249756,0.27011963725090027,0.05135391652584076,0.009125210344791412,0.6782200336456299,0.181985542178154,1
