n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,category
0.32388049364089966,0.04013637453317642,0.019548527896404266,0.6280893087387085,0.008993091993033886,0.039336998015642166,0.3860059976577759,0.11374294757843018,0.4147748053073883,0.07394429296255112,0.0023203135933727026,0
0.8963912725448608,0.047010164707899094,0.006718817632645369,0.3678266406059265,0.23666399717330933,0.15432500839233398,0.11485830694437027,0.2458614706993103,0.48604246973991394,0.29616931080818176,0.012702430598437786,0
0.9164649248123169,0.03594323992729187,0.01025783084332943,0.28824612498283386,0.019131125882267952,0.18090122938156128,0.16870155930519104,0.1344248652458191,0.04716921225190163,0.17407208681106567,0.026758529245853424,0
0.8614917397499084,0.05290738493204117,0.010445352643728256,0.3991035223007202,0.0956295058131218,0.114789217710495,0.07140117138624191,0.19123408198356628,0.38734176754951477,0.3054691553115845,0.0038528747390955687,0
0.7761319279670715,0.0619359128177166,0.05117228627204895,0.26421645283699036,0.1631263792514801,0.04979325085878372,0.2862834632396698,0.34196001291275024,0.1881335973739624,0.18398864567279816,0.07498078048229218,1
0.7063745260238647,0.2038310468196869,0.28995683789253235,0.01290386077016592,0.05232711881399155,0.2283388376235962,0.3074524998664856,0.07697821408510208,0.4577260911464691,0.22125175595283508,0.09077069908380508,1
1.2375026941299438,0.2984503209590912,0.06395867466926575,0.08592104911804199,0.023859839886426926,0.33952292799949646,0.24243642389774323,0.05587376654148102,0.09970273077487946,0.21711194515228271,0.002045317552983761,0
0.4860219955444336,0.012393871322274208,0.05593255162239075,0.5649372339248657,0.07887019962072372,0.0990484207868576,0.3284027576446533,0.03718234598636627,0.16145166754722595,0.14248059689998627,0.040659189224243164,0
0.841401219367981,0.15254241228103638,0.010809758678078651,0.09020617604255676,0.14108845591545105,0.18357360363006592,0.15307509899139404,0.06372188031673431,0.2663138210773468,0.07025320082902908,0.03557200729846954,1
0.7195094227790833,0.09108254313468933,0.0031391801312565804,0.3793085813522339,0.2101423144340515,0.10890749096870422,0.26741650700569153,0.18002010881900787,0.5259609222412109,0.16462907195091248,0.026340071111917496,0
0.7381066083908081,0.04901418089866638,0.02638719603419304,0.05076512694358826,0.12234208732843399,0.11491787433624268,0.04581283777952194,0.052932821214199066,0.4961831569671631,0.02765878103673458,0.04033035784959793,1
0.34258583188056946,0.01785506308078766,0.026817873120307922,0.07673627138137817,0.14995379745960236,0.08625999093055725,0.3971727788448334,0.1990956962108612,0.09240233153104782,0.09168464690446854,0.09861519187688828,1
0.7250024080276489,0.02265702374279499,0.01771078072488308,0.5949355959892273,0.028200583532452583,0.08038339018821716,0.24585139751434326,0.09373322129249573,0.2584381401538849,0.3162376284599304,0.00920206680893898,0
0.31144627928733826,0.04636639356613159,0.07600116729736328,0.41490182280540466,0.004046208690851927,0.08812440931797028,0.4841988682746887,0.13518843054771423,0.27752700448036194,0.40063294768333435,0.17026783525943756,0
0.8385658264160156,0.024527106434106827,0.005958725698292255,0.22892802953720093,0.0984073206782341,0.24711161851882935,0.17394016683101654,0.4010867476463318,0.6678609251976013,0.19642800092697144,0.011228217743337154,0
0.47402679920196533,0.0337098054587841,0.007209097966551781,0.22533486783504486,0.14632131159305573,0.11037204414606094,0.12807558476924896,0.18569345772266388,0.14379386603832245,0.13486936688423157,0.12035264074802399,1
0.7632288932800293,0.08159799873828888,0.23275324702262878,0.15715517103672028,0.022563938051462173,0.09384395182132721,0.24289371073246002,0.06900583207607269,0.06124264374375343,0.06791220605373383,0.02545161359012127,0
0.5347197651863098,0.08296915143728256,0.21860505640506744,0.05667800083756447,0.002531633013859391,0.15517854690551758,0.352348655462265,0.08239229023456573,0.1584126055240631,0.1894187480211258,0.015167796984314919,0
