n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,category
0.26908260583877563,0.24653564393520355,0.3858158588409424,0.07139358669519424,0.8131272196769714,0.19093675911426544,0.36950069665908813,0.06160146743059158,0.15921643376350403,0.33522194623947144,1.2210065126419067,0.3930276036262512,0.340112566947937,0.12419895827770233,0.1021786481142044,1
0.19917228817939758,0.07687287032604218,0.36295780539512634,0.14803196489810944,0.6712132096290588,0.19475886225700378,0.32216259837150574,0.07023385912179947,0.15396638214588165,0.16839785873889923,1.3059190511703491,0.45585355162620544,0.6368101239204407,0.21037140488624573,0.09216152131557465,1
0.13518843054771423,0.27752700448036194,0.40063294768333435,0.17026783525943756,0.4040784239768982,0.5801653265953064,0.11145385354757309,0.0044949292205274105,0.21051138639450073,0.4793841540813446,0.3213023841381073,0.3382991552352905,0.07366958260536194,0.050368115305900574,0.052532996982336044,0
0.22588597238063812,0.32366350293159485,0.11889336258172989,0.03153953328728676,0.44484037160873413,0.3477575480937958,0.37767887115478516,0.01034525129944086,0.1375400274991989,0.5159018039703369,0.6264424920082092,0.5816026329994202,0.09221769869327545,0.05077921599149704,0.0018847009632736444,0
0.19123408198356628,0.38734176754951477,0.3054691553115845,0.0038528747390955687,0.8057100176811218,0.19789133965969086,0.6846617460250854,0.023317012935876846,0.22227497398853302,0.7057441473007202,0.8864766955375671,0.7147413492202759,0.25654080510139465,0.15021269023418427,0.001879767281934619,0
0.2802649140357971,0.3245408535003662,0.235079824924469,0.06282950192689896,0.753369152545929,0.4233258366584778,0.17597657442092896,0.07790616154670715,0.22688321769237518,0.45006850361824036,1.2014390230178833,0.2678675651550293,0.044641874730587006,0.08173926174640656,0.4364505708217621,1
0.21108736097812653,0.18602856993675232,0.17957815527915955,0.09446189552545547,0.8601633310317993,0.03283277153968811,0.4055996239185333,0.045483026653528214,0.0682927668094635,0.004810506943613291,0.9633551239967346,0.31033259630203247,0.34823161363601685,0.08950945734977722,0.08441922813653946,1
0.08239229023456573,0.1584126055240631,0.1894187480211258,0.015167796984314919,0.2994304299354553,0.34666189551353455,0.15623722970485687,0.019241981208324432,0.11943761259317398,0.07098636776208878,0.19056805968284607,0.3578581213951111,0.02154521271586418,0.010368367657065392,0.08453264087438583,0
0.40634042024612427,0.33278733491897583,0.14072588086128235,0.013863814063370228,0.7358952164649963,0.11360559612512589,0.5288466215133667,0.010050681419670582,0.21055001020431519,0.4441003203392029,0.6299191117286682,0.7401212453842163,0.2781396210193634,0.14228591322898865,0.007144949398934841,0
0.1944567710161209,0.18890035152435303,0.06091693043708801,0.008082276210188866,0.5306939482688904,0.05092693492770195,0.6743877530097961,0.0019832816906273365,0.03984091430902481,0.042770106345415115,0.7706089615821838,0.9741492867469788,0.6679635643959045,0.1212153360247612,0.0430414117872715,0
0.2175453007221222,0.26775431632995605,0.22950290143489838,0.03693057596683502,0.5180344581604004,0.26892468333244324,0.10957907885313034,0.08820480108261108,0.1241728886961937,0.023328423500061035,0.9556368589401245,0.34821709990501404,0.4349074959754944,0.061225391924381256,0.08192186802625656,1
0.06363710016012192,0.40494728088378906,0.27889284491539,0.2247978150844574,0.24585853517055511,0.2482571303844452,0.1222258135676384,0.007761870510876179,0.0926712229847908,0.27725574374198914,1.9050019979476929,0.24028043448925018,0.039847806096076965,0.10249064862728119,0.18743419647216797,1
0.1188143789768219,0.34475797414779663,0.10818453133106232,0.00926531944423914,0.4891913831233978,0.13561344146728516,0.15473031997680664,0.03632337972521782,0.06223943084478378,0.012467914260923862,1.2077555656433105,0.3035643398761749,0.031206898391246796,0.030493447557091713,0.6474525928497314,1
0.06900583207607269,0.06124264374375343,0.06791220605373383,0.02545161359012127,0.22571435570716858,0.2729576826095581,0.18955384194850922,0.03850577771663666,0.19415943324565887,0.0531916581094265,0.17999684810638428,0.4472540020942688,0.18342134356498718,0.024690356105566025,0.17767246067523956,0
0.19042719900608063,0.1411232054233551,0.2923189401626587,0.09212322533130646,0.47611263394355774,0.13920390605926514,0.6820560693740845,0.08868099749088287,0.07243631780147552,0.3335171043872833,1.3373489379882812,0.5080987215042114,0.20783014595508575,0.27816998958587646,0.05998256802558899,1
